26000,-43.97942164,-42.95392405
26010,-44.37186525,-42.34632911
26020,-44.94326543,-41.94522293
26030,-44.86016297,-41.81783439
26040,-44.50738547,-41.71809524
26050,-44.45184339,-41.63470588
26060,-44.52637384,-41.60529412
26070,-44.53642552,-41.72535032
26080,-44.51655073,-41.9025
26090,-43.86045215,-42.1525
26100,-42.8915562,-42.27763514
26110,-42.76917818,-42.20708333
26120,-43.0871748,-41.74875
26130,-43.5718732,-41.74065476
26140,-44.14824207,-42.02041667
26150,-43.80365398,-41.764
26160,-42.92419457,-41.87770701
26170,-43.08289476,-42.6611465
26180,-43.87788632,-42.66038217
26190,-44.62760807,-42.48178344
26200,-45.34806916,-42.32254777
26210,-44.96912849,-42.46523179
26220,-43.84123422,-42.60154362
26230,-43.086508,-41.92369128
26240,-42.59957567,-41.24741722
26250,-42.78339362,-40.69518987
26260,-43.47404253,-40.79012658
26270,-43.2680006,-41.18922581
26280,-42.34879161,-41.78591837
26290,-42.52779589,-41.64986395
26300,-43.62587797,-41.68020134
26310,-43.7225082,-41.80986928
26320,-42.93745404,-41.52228758
26330,-42.53420252,-41.34903448
26340,-42.48451555,-41.36125
26350,-42.26114578,-42.26402778
26360,-41.8686187,-42.33173611
26370,-42.02099871,-41.92645833
26380,-42.73152241,-41.43340278
26390,-42.88233429,-41.43885906
26400,-42.43018285,-41.56306667
26410,-42.64887707,-41.60973333
26420,-43.62771042,-42.18078431
26430,-43.94692835,-42.57806452
26440,-43.47987081,-42.01032258
26450,-43.15387658,-41.70283784
26460,-43.00481566,-41.56047619
26470,-42.98210375,-41.60809524
26480,-43.12619597,-41.85469388
26490,-42.995873,-42.11432258
26500,-42.48409719,-42.23690323
26510,-42.29694524,-41.96188312
26520,-42.58512968,-41.54875
26530,-42.78149061,-41.17375
26540,-42.83614628,-41.64619632
26550,-42.65630726,-42.70754601
26560,-42.09484448,-42.01251656
26570,-41.92467654,-41.66401316
26580,-42.42651496,-41.82848684
26590,-42.76765875,-41.97372549
26600,-42.81734572,-41.87176471
26610,-42.94367982,-41.42542857
26620,-43.21695816,-41.56114286
26630,-43.37539004,-41.90369863
26640,-43.30085958,-42.26222222
